pl_name,hostname,disposition,disc_year,pl_rade,pl_bmasse,pl_eqt,rastr,ra,decstr,dec
EPIC 211544257.01,EPIC 211544257,CANDIDATE,2018,,,,08h51m18.08s,132.8253523,+13d45m41.00s,13.7613890
EPIC 211546613.01,EPIC 211546613,CANDIDATE,2018,,,,09h04m48.01s,136.2000475,+13d47m43.60s,13.7954456
EPIC 211546613.01,EPIC 211546613,CANDIDATE,2018,7.164,,680,09h04m48.01s,136.2000475,+13d47m43.60s,13.7954456
EPIC 211551160.01,EPIC 211551160,CANDIDATE,2019,2.320,,,08h25m01.53s,126.2563741,+13d51m25.55s,13.8570960
EPIC 211552050.01,EPIC 211552050,CANDIDATE,2018,1.900,,,08h53m38.44s,133.4101774,+13d52m09.63s,13.8693418
EPIC 211569704.01,EPIC 211569704,CANDIDATE,2016,,,,08h28m01.12s,127.0046688,+14d07m10.55s,14.1195964
EPIC 211572511.01,EPIC 211572511,CANDIDATE,2016,,,,08h26m05.17s,126.5215592,+14d09m25.90s,14.1571938
EPIC 211578235.01,EPIC 211578235,CANDIDATE,2016,,,,09h00m14.73s,135.0613720,+14d14m15.13s,14.2375374
EPIC 211578235.01,EPIC 211578235,CANDIDATE,2016,41.500,,,09h00m14.73s,135.0613720,+14d14m15.13s,14.2375374
EPIC 211579683.01,EPIC 211579683,CANDIDATE,2016,3.600,,,08h20m51.48s,125.2144993,+14d15m31.13s,14.2586479
EPIC 211579683.01,EPIC 211579683,CANDIDATE,2016,,,,08h20m51.48s,125.2144993,+14d15m31.13s,14.2586479
EPIC 211586387.01,EPIC 211586387,CANDIDATE,2016,2.600,,,09h07m12.28s,136.8011502,+14d21m19.50s,14.3554169
EPIC 211586387.01,EPIC 211586387,CANDIDATE,2016,,,,09h07m12.28s,136.8011502,+14d21m19.50s,14.3554169
EPIC 211590050.01,EPIC 211590050,CANDIDATE,2022,10.480,,222,09h00m19.29s,135.0803585,+14d24m15.33s,14.4042594
EPIC 211606790.01,EPIC 211606790,CANDIDATE,2018,23.804,,,09h08m34.66s,137.1444253,+14d37m50.82s,14.6307827
EPIC 211606790.01,EPIC 211606790,CANDIDATE,2018,35.000,,,09h08m34.66s,137.1444253,+14d37m50.82s,14.6307827
EPIC 211611139.01,EPIC 211611139,CANDIDATE,2018,,,,08h56m32.39s,134.1349445,+14d41m24.16s,14.6900442
EPIC 211616939.01,EPIC 211616939,CANDIDATE,2018,,,,08h52m55.02s,133.2292432,+14d46m17.48s,14.7715214
EPIC 211619805.01,EPIC 211619805,CANDIDATE,2018,,,,08h52m57.20s,133.2383188,+14d48m42.45s,14.8117921
EPIC 211619879.01,EPIC 211619879,CANDIDATE,2019,1.380,,,08h36m15.61s,129.0650281,+14d48m45.62s,14.8126725
EPIC 211620138.01,EPIC 211620138,CANDIDATE,2018,,,,08h52m55.69s,133.2320539,+14d48m59.22s,14.8164505
EPIC 211631538.01,EPIC 211631538,CANDIDATE,2018,3.900,,,08h49m22.19s,132.3424454,+14d58m42.10s,14.9783604
EPIC 211638401.01,EPIC 211638401,CANDIDATE,2018,1.400,,,09h06m53.34s,136.7222365,+15d04m31.53s,15.0754252
EPIC 211642307.01,EPIC 211642307,CANDIDATE,2019,1.440,,,08h15m30.28s,123.8761593,+15d07m46.06s,15.1294601
EPIC 211642882.01,EPIC 211642882,CANDIDATE,2018,,,,09h15m48.70s,138.9529161,+15d08m15.66s,15.1376825
EPIC 211642882.01,EPIC 211642882,CANDIDATE,2018,12.831,,476,09h15m48.70s,138.9529161,+15d08m15.66s,15.1376825
EPIC 211644764.01,EPIC 211644764,CANDIDATE,2022,9.250,,591,08h30m44.86s,127.6869017,+15d09m45.35s,15.1625976
EPIC 211645912.01,EPIC 211645912,CANDIDATE,2016,,,,08h19m59.29s,124.9970240,+15d10m40.32s,15.1778665
EPIC 211645912.01,EPIC 211645912,CANDIDATE,2016,1.860,,,08h19m59.29s,124.9970240,+15d10m40.32s,15.1778665
EPIC 211649214.01,EPIC 211649214,CANDIDATE,2018,,,,08h52m24.97s,133.1040583,+15d13m24.82s,15.2235610
EPIC 211663688.01,EPIC 211663688,CANDIDATE,2018,,,,08h53m01.57s,133.2565282,+15d25m20.23s,15.4222864
EPIC 211673349.01,EPIC 211673349,CANDIDATE,2018,4.100,,,08h43m06.58s,130.7774233,+15d33m15.54s,15.5543170
EPIC 211679060.01,EPIC 211679060,CANDIDATE,2021,2.788,,,08h56m59.72s,134.2488531,+15d37m59.80s,15.6332775
EPIC 211682423.01,EPIC 211682423,CANDIDATE,2016,,,,08h48m22.24s,132.0926716,+15d40m43.89s,15.6788582
EPIC 211685045.01,EPIC 211685045,CANDIDATE,2016,2.060,,,08h13m26.29s,123.3595270,+15d42m49.31s,15.7136980
