kepoi_name,koi_prad,koi_teq,ra,dec
K00840.01,8.99,1021.0,299.316100,40.822380
K00841.01,5.00,610.0,292.236760,41.085880
K00117.04,1.06,1074.0,297.028260,48.208611
K00841.02,6.50,481.0,292.236760,41.085880
K00831.01,12.28,1104.0,294.056760,40.549679
K00832.01,17.61,796.0,294.743960,40.533920
K00833.01,31.44,1133.0,295.504390,40.505489
K00834.01,7.89,731.0,287.897130,40.637821
K00834.02,3.06,888.0,287.897130,40.637821
K00834.03,2.32,1146.0,287.897130,40.637821
K00834.04,1.62,1642.0,287.897130,40.637821
K00117.03,1.53,1458.0,297.028260,48.208611
K00834.05,2.67,568.0,287.897130,40.637821
K00835.01,2.35,616.0,294.202150,40.663410
K00835.02,2.37,366.0,294.202150,40.663410
K00836.01,17.06,1010.0,299.642850,40.691238
K00837.01,2.25,696.0,291.158780,40.750271
K00837.02,1.48,864.0,291.158780,40.750271
K00838.01,38.33,1114.0,292.214360,40.759762
K00850.01,8.24,713.0,293.878110,41.661770
K00851.01,5.39,1038.0,299.186860,41.742680
K00852.01,2.66,1121.0,283.316380,41.837120
K00853.01,3.01,742.0,286.565700,41.808399
K00853.02,3.01,613.0,286.565700,41.808399
K00841.03,2.19,810.0,292.236760,41.085880
K00842.01,2.31,562.0,292.913120,41.060921
K00842.02,2.64,397.0,292.913120,41.060921
K00843.01,6.21,1234.0,293.496610,41.137589
K00844.01,4.35,1151.0,283.864410,41.346458
K00845.01,3.75,727.0,288.510010,41.301769
K00846.01,13.84,554.0,296.888210,41.396091
K00847.01,7.59,452.0,287.154300,41.565788
K00848.01,26.82,954.0,284.869290,41.679192
K00118.01,2.29,712.0,287.362790,38.649601
K00849.01,2.47,777.0,288.994200,41.633282
K00867.01,3.68,613.0,292.105190,42.380322
K00868.01,10.59,188.0,293.007970,42.307201
K00869.01,2.56,753.0,291.638980,42.436321
K00869.02,3.03,445.0,291.638980,42.436321
K00869.03,2.32,568.0,291.638980,42.436321
K00854.01,1.94,233.0,289.508480,41.812119
K00855.01,11.38,453.0,291.760410,41.944069
K00856.01,14.21,552.0,293.179290,41.969238
K00857.01,2.47,850.0,285.110470,42.033958
K00119.01,8.20,669.0,294.559170,46.062328
K00857.02,2.28,559.0,285.110470,42.033958
K00858.01,19.02,733.0,289.897770,42.009151
K00859.01,2.66,667.0,286.243560,42.148811
K00861.01,1.41,1160.0,290.007570,42.116459
K00862.01,14.62,901.0,284.087310,42.233231
K00863.01,2.62,1221.0,293.816470,42.212502
K00864.01,3.11,1038.0,287.242680,42.301369
K00864.02,2.69,622.0,287.242680,42.301369
K00864.03,2.67,791.0,287.242680,42.301369
K00865.01,8.98,366.0,291.583770,42.368160
K00119.02,7.78,426.0,294.559170,46.062328
K00866.01,4.37,1355.0,291.671720,42.343109
K00880.01,3.91,562.0,292.873380,42.966141
K00880.02,5.51,450.0,292.873380,42.966141
K00880.03,2.43,926.0,292.873380,42.966141
K00880.04,1.86,1253.0,292.873380,42.966141
K00881.01,3.07,521.0,294.909730,42.935261
K00869.04,1.69,998.0,291.638980,42.436321
K00870.01,1.73,585.0,292.137020,42.429420
K00870.02,1.65,509.0,292.137020,42.429420
K00871.01,22.94,723.0,291.119690,42.507069
K00120.01,2.41,742.0,294.401920,50.172089
K00872.01,8.46,495.0,289.268740,42.604172
K00872.02,1.97,845.0,289.268740,42.604172
K00873.01,2.36,1174.0,291.964170,42.696140
K00874.01,2.35,896.0,296.483430,42.663429
K00874.02,1.55,667.0,296.483430,42.663429
K00875.01,2.62,595.0,296.693940,42.626110
K00876.01,588.66,853.0,287.884120,42.832439
K00877.01,2.33,635.0,293.636960,42.824970
K00877.02,2.18,502.0,293.636960,42.824970
K00877.03,1.42,418.0,293.636960,42.824970
K00121.01,63.66,1399.0,294.460880,38.383461
K00878.01,3.16,487.0,297.460020,42.839920
K00123.01,2.54,1145.0,290.392730,40.284870
K00892.01,3.20,720.0,290.393220,43.363899
K00892.02,1.78,992.0,290.393220,43.363899
K00893.01,2.66,1139.0,292.965550,43.346390
K00894.01,4.68,878.0,299.001430,43.399632
K00881.02,4.53,236.0,294.909730,42.935261
K00882.01,21.58,1109.0,295.835360,42.943062
K00883.01,12.04,929.0,296.683070,42.967869
K00884.01,4.16,686.0,288.642520,43.039291
K00122.01,3.13,927.0,284.482450,44.398041
K00884.02,2.92,530.0,288.642520,43.039291
K00884.03,1.74,970.0,288.642520,43.039291
K00886.01,1.72,453.0,294.773930,43.056301
K00886.02,1.29,395.0,294.773930,43.056301
K00886.03,1.30,328.0,294.773930,43.056301
K00887.01,2.45,905.0,295.651490,43.029831
K00888.01,4.14,1620.0,297.975130,43.164909
K00889.01,10.51,770.0,291.137600,36.577381
K00890.01,8.95,986.0,282.699520,43.272739
K00891.01,3.52,876.0,283.630770,43.379398
